epoch,accuracy,loss,val_accuracy,val_loss
0,0.35040134,1.332133898634743,0.409221887588501,1.289252794441641
1,0.6401882,1.00134731738019,0.680115282535553,0.9029407180008352
2,0.796568,0.5790137247368796,0.7118155360221863,0.7697436505504576
3,0.84666485,0.4153565367502814,0.7031700015068054,0.7561979754170355
4,0.882646,0.3292922572584123,0.6974063515663147,0.7747346071757226
5,0.90755606,0.26423309532651734,0.7060518860816956,0.8294558255404492
6,0.92554665,0.21860149793931066,0.6916426420211792,0.8896270672594779
7,0.94215333,0.17901673787622746,0.6829971075057983,0.9647705922552763
8,0.95128703,0.14776404035361956,0.6858789920806885,0.973577223181381
9,0.9604207,0.13301693713057908,0.6714697480201721,1.0814452507997452
10,0.9642956,0.1231065027409566,0.6829971075057983,1.0957362473182788
11,0.96706337,0.10773801368885742,0.6714697480201721,1.1580926787956303
12,0.97121507,0.09619977637205697,0.6772334575653076,1.2409180684460688
13,0.9717686,0.09499276989290928,0.6772334575653076,1.2409548563641155
14,0.9742596,0.08040136504333714,0.6772334575653076,1.258938565034344
15,0.9753667,0.08415915758457007,0.680115282535553,1.308442419818911
16,0.9742596,0.08646652710601098,0.6685879230499268,1.3179280620487004
17,0.97592026,0.07572899942760351,0.6829971075057983,1.2934582621632118
18,0.97508997,0.0731669392219185,0.6714697480201721,1.3546098024082458
19,0.9770274,0.07149638145607312,0.6599423885345459,1.4131020070496485
20,0.9767506,0.06757941631970933,0.680115282535553,1.3926005418431175
21,0.9770274,0.0687870291455314,0.6657060384750366,1.4419963459460123
22,0.97730416,0.06657778735149114,0.6628242135047913,1.4948211709085735
23,0.97896487,0.061863392266428625,0.6628242135047913,1.4900984393073091
24,0.97730416,0.059218865889131014,0.6628242135047913,1.5531432999657622
